,Power,Wheels_Size,Rear_Tyre_&_Rim,Displacement,Cylinders,Fuel_Tank_Capacity,Front_Tyre_&_Rim,Torque,Fuel_System,Maruti Suzuki,Honda,Tata,Jeep,Kia,Hyundai,Bmw,Ford,Maruti Suzuki R,Mahindra
934,,185.0,185.0,1462.0,4.0,45.0,185.0,138.0,1.0,1,0,0,0,0,0,0,0,0,0
938,,185.0,185.0,1462.0,4.0,45.0,185.0,180.0,1.0,1,0,0,0,0,0,0,0,0,0
969,115.0,,,1497.0,4.0,60.0,,,1.0,0,0,0,0,1,0,0,0,0,0
970,115.0,,,1497.0,,60.0,,,1.0,0,0,0,0,1,0,0,0,0,0
971,115.0,,,1497.0,,60.0,,,1.0,0,0,0,0,1,0,0,0,0,0
972,115.0,,,1497.0,,60.0,,,1.0,0,0,0,0,1,0,0,0,0,0
973,115.0,,,1497.0,,60.0,,,1.0,0,0,0,0,1,0,0,0,0,0
974,,,,1493.0,,60.0,,,1.0,0,0,0,0,1,0,0,0,0,0
975,115.0,,,1493.0,,60.0,,,1.0,0,0,0,0,1,0,0,0,0,0
976,115.0,,,1493.0,,60.0,,,1.0,0,0,0,0,1,0,0,0,0,0
977,115.0,,,1493.0,,60.0,,,1.0,0,0,0,0,1,0,0,0,0,0
978,115.0,,,1493.0,,60.0,,,1.0,0,0,0,0,1,0,0,0,0,0
979,115.0,,,1493.0,,60.0,,,1.0,0,0,0,0,1,0,0,0,0,0
980,140.0,,,1353.0,4.0,50.0,,,1.0,0,0,0,0,1,0,0,0,0,0
981,140.0,,,1353.0,4.0,50.0,,,1.0,0,0,0,0,1,0,0,0,0,0
982,140.0,,,1353.0,4.0,50.0,,,1.0,0,0,0,0,1,0,0,0,0,0
983,140.0,,,1353.0,4.0,50.0,,,1.0,0,0,0,0,1,0,0,0,0,0
984,115.0,,,1493.0,,60.0,,,1.0,0,0,0,0,1,0,0,0,0,0
1009,152.0,205.0,205.0,1999.0,4.0,50.0,205.0,196.0,1.0,0,0,0,0,0,1,0,0,0,0
1010,152.0,205.0,205.0,1999.0,4.0,50.0,205.0,196.0,1.0,0,0,0,0,0,1,0,0,0,0
1011,152.0,205.0,205.0,1999.0,4.0,50.0,205.0,196.0,1.0,0,0,0,0,0,1,0,0,0,0
